"country","prov","origin","dataset.id","group","org.site","unique.id","river","latitude","longitude","st.yr","ed.yr","yr.ln","yr.num","distance"
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",10,"SH_123704","GER_071_MZB_LO_12","Schafflunder Muehlenstrom",54.747486892,9.1180991878,2009,2020,12,6,0
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",10,"SH_123224","GER_071_MZB_LO_9","Schafflunder Muehlenstrom",54.7444882564,9.1051194589,2009,2020,12,7,871.19154091648
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",10,"SH_123702","GER_071_MZB_LO_11","Schafflunder Muehlenstrom",54.749266282,9.1269909393,2009,2020,12,6,586.44279658138
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",11,"SH_126559","GER_071_MZB_LO_13","Schwartau",53.9302620724,10.6979531303,2009,2021,13,12,0
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",11,"SH_126616","GER_071_MZB_LO_14","Schwartau",53.9351497467,10.7095314323,2010,2020,11,5,904.232034753489
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",11,"SH_127134","GER_071_MZB_LO_16","Schwartau",53.9376329016,10.7049558373,2010,2020,11,6,909.551060040909
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",1,"SN_OBF00080","GER_072_MZB_LO_1","Elbe",50.8633533404438,14.2262837583507,2009,2019,11,11,0
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",1,"SN_OBF00090","GER_072_MZB_LO_2","Elbe",50.8606541995165,14.2282716762327,2009,2019,11,11,319.89613242192
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",3,"SN_OBF00100","GER_072_MZB_LO_3","Elbe-0 (Labe od toku Jílovský potok po tok Kirnitzsch)",50.8904852802073,14.2291699590732,2009,2019,11,11,0
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",3,"SN_OBF00200","GER_072_MZB_LO_4","Elbe-0 (Labe od toku Jílovský potok po tok Kirnitzsch)",50.8913027093774,14.2301471625146,2009,2019,11,11,110.085320039214
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",5,"SN_OBF00250","GER_072_MZB_LO_5","Elbe",50.9066355240453,14.1948491761461,2009,2019,11,11,0
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",5,"SN_OBF00300","GER_072_MZB_LO_6","Elbe",50.9046361490932,14.2074237139258,2009,2019,11,11,880.677565242663
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",7,"SN_OBF01200","GER_072_MZB_LO_9","Elbe-1",51.0958106153903,13.6429752056482,2009,2019,11,11,0
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",7,"SN_OBF01300","GER_072_MZB_LO_10","Elbe-1",51.0969389137351,13.6432864747065,2009,2019,11,11,123.024590287568
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",9,"SN_OBF01800","GER_072_MZB_LO_12","Elbe",51.209331557957,13.4040423209241,2009,2019,11,11,0
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",9,"SN_OBF01900","GER_072_MZB_LO_13","Elbe",51.2095736278104,13.4063394325166,2009,2019,11,11,157.175886577574
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",11,"SN_OBF02600","GER_072_MZB_LO_18","Elbe",51.5577384255562,13.0104521292251,2009,2019,11,11,0
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",11,"SN_OBF02700","GER_072_MZB_LO_19","Elbe",51.5582362374623,13.0121358492304,2009,2019,11,11,124.806340308947
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",13,"SN_OBF50006","GER_072_MZB_LO_76","Kroestaubach",50.4701625274093,12.0723128798177,2010,2020,11,5,0
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",13,"SN_OBF51100","GER_072_MZB_LO_78","Rosenbach",50.4742021157016,12.0809824951363,2010,2020,11,6,735.866873928346
"Germany","Landesamt für Umweltschutz (Sachsen-Anhalt) (LAU)","new data call","GER_073_MZB_LO",1,"ST_410001","GER_073_MZB_LO_55","Elbe",51.9298058696411,11.9524835101686,2008,2019,12,8,0
